time	V(N003,N006)	V(N018,N020)	I(D12)
2.395223465625866e-006	-7.512271e+001	-7.310486e+001	1.362952e-005
2.405223465625807e-006	-7.609204e+001	-7.407604e+001	1.638967e-005
2.415223465625747e-006	-7.706134e+001	-7.504754e+001	1.913223e-005
2.425223465625688e-006	-7.803050e+001	-7.601923e+001	2.185655e-005
2.435223465625629e-006	-7.899938e+001	-7.699096e+001	2.456230e-005
2.445223465625569e-006	-7.996783e+001	-7.796260e+001	2.724911e-005
2.455223465625510e-006	-8.093572e+001	-7.893400e+001	2.991650e-005
2.465223465625450e-006	-8.190292e+001	-7.990502e+001	3.256393e-005
2.485223465625332e-006	-8.383465e+001	-8.184535e+001	3.779720e-005
2.495223465625272e-006	-8.479891e+001	-8.281437e+001	4.038209e-005
2.505223465625213e-006	-8.576191e+001	-8.378245e+001	4.294421e-005
2.515223465625154e-006	-8.672351e+001	-8.474944e+001	4.548418e-005
2.525223465625094e-006	-8.768356e+001	-8.571517e+001	4.800222e-005
2.535223465625035e-006	-8.864193e+001	-8.667951e+001	5.049661e-005
2.545223465624975e-006	-8.959846e+001	-8.764231e+001	5.296714e-005
2.555223465624916e-006	-9.055302e+001	-8.860343e+001	5.541334e-005
2.565223465624857e-006	-9.150546e+001	-8.956270e+001	5.783460e-005
2.575223465624797e-006	-9.245562e+001	-9.051999e+001	6.023048e-005
2.585223465624738e-006	-9.340338e+001	-9.147514e+001	6.260040e-005
2.595223465624678e-006	-9.434858e+001	-9.242801e+001	6.494379e-005
2.605223465624619e-006	-9.529108e+001	-9.337844e+001	6.726009e-005
2.615223465624560e-006	-9.623072e+001	-9.432628e+001	6.954878e-005
2.625223465624500e-006	-9.716736e+001	-9.527137e+001	7.180916e-005
2.635223465624441e-006	-9.810084e+001	-9.621357e+001	7.404084e-005
2.645223465624381e-006	-9.903103e+001	-9.715272e+001	7.624317e-005
2.665223465624263e-006	-1.008809e+002	-9.902126e+001	8.055734e-005
2.675223465624203e-006	-1.018003e+002	-9.995034e+001	8.266796e-005
2.685223465624144e-006	-1.027158e+002	-1.008757e+002	8.474680e-005
2.695223465624085e-006	-1.036273e+002	-1.017973e+002	8.679322e-005
2.705223465624025e-006	-1.045355e+002	-1.027158e+002	8.882736e-005
2.706473465624018e-006	-1.046487e+002	-1.028303e+002	8.907474e-005
2.708973465624003e-006	-1.048746e+002	-1.030589e+002	8.956109e-005
2.713973465623973e-006	-1.053254e+002	-1.035150e+002	9.054559e-005
2.723973465623914e-006	-1.062238e+002	-1.044241e+002	9.249409e-005
2.733973465623854e-006	-1.071181e+002	-1.053294e+002	9.440890e-005
2.753973465623736e-006	-1.088923e+002	-1.071261e+002	9.813039e-005
2.763973465623676e-006	-1.097719e+002	-1.080172e+002	9.994055e-005
2.773973465623617e-006	-1.106462e+002	-1.089032e+002	1.017113e-004
2.783973465623557e-006	-1.115151e+002	-1.097840e+002	1.034394e-004
2.793973465623498e-006	-1.123785e+002	-1.106594e+002	1.051306e-004
2.803973465623439e-006	-1.132362e+002	-1.115293e+002	1.067862e-004
2.813973465623379e-006	-1.140881e+002	-1.123935e+002	1.083993e-004
2.823973465623320e-006	-1.149339e+002	-1.132519e+002	1.099670e-004
2.833973465623261e-006	-1.157736e+002	-1.141042e+002	1.114941e-004
2.843973465623201e-006	-1.166070e+002	-1.149504e+002	1.129828e-004
2.853973465623142e-006	-1.174340e+002	-1.157903e+002	1.144268e-004
2.863973465623082e-006	-1.182543e+002	-1.166237e+002	1.158207e-004
2.873973465623023e-006	-1.190679e+002	-1.174505e+002	1.171767e-004
2.883973465622964e-006	-1.198746e+002	-1.182704e+002	1.184858e-004
2.893973465622904e-006	-1.206743e+002	-1.190834e+002	1.197462e-004
2.913973465622785e-006	-1.222517e+002	-1.206880e+002	1.221281e-004
2.923973465622726e-006	-1.230293e+002	-1.214792e+002	1.232453e-004
2.943973465622607e-006	-1.245613e+002	-1.230387e+002	1.253234e-004
2.953973465622548e-006	-1.253154e+002	-1.238067e+002	1.262869e-004
2.963973465622488e-006	-1.260614e+002	-1.245667e+002	1.271964e-004
2.973973465622429e-006	-1.267992e+002	-1.253184e+002	1.280531e-004
2.983973465622370e-006	-1.275286e+002	-1.260618e+002	1.288614e-004
2.993973465622310e-006	-1.282494e+002	-1.267967e+002	1.296075e-004
