Freq.	V(n004)
Step Information: X=50m  (Run: 1/10)
1.31825673855641e+05	(-1.98782304850397e+01dB,-1.31963829200238e+02°)
1.33352143216333e+05	(-1.84995566801975e+01dB,-1.34906706589819e+02°)
1.34896288259166e+05	(-1.70360615499702e+01dB,-1.38211663119135e+02°)
1.36458313658893e+05	(-1.54744567001032e+01dB,-1.41935162422339e+02°)
1.38038426460289e+05	(-1.37964385167078e+01dB,-1.46143802054152e+02°)
1.39636836105594e+05	(-1.19750902485796e+01dB,-1.50918850439840e+02°)
1.41253754462276e+05	(-9.96783814644010e+00dB,-1.56368000457151e+02°)
1.42889395851111e+05	(-7.70183804025178e+00dB,-1.62658638508438e+02°)
1.44543977074593e+05	(-5.04094532948281e+00dB,-1.70120787916056e+02°)
1.46217717445672e+05	(-1.70061934352477e+00dB,-1.79620755270215e+02°)
1.47910838816821e+05	(3.01199203601904e+00dB,1.65576240436861e+02°)
1.49623565609444e+05	(1.04717836707855e+01dB,1.23480263783813e+02°)
1.51356124843621e+05	(7.84441038082037e+00dB,3.23461990532514e+01°)
1.53108746168203e+05	(1.48983556593884e+00dB,5.50616713163586e+00°)
1.54881661891248e+05	(-2.49205859535330e+00dB,-6.67095097218554e+00°)
1.56675107010815e+05	(-5.39843113062577e+00dB,-1.51510486643180e+01°)
1.58489319246112e+05	(-7.73664256242752e+00dB,-2.19634807298736e+01°)
1.60324539069005e+05	(-9.72724085442729e+00dB,-2.77347959529163e+01°)
1.62181009735893e+05	(-1.14809042313408e+01dB,-3.27337951906909e+01°)
1.64058977319954e+05	(-1.30593900788764e+01dB,-3.71101350283017e+01°)
1.65958690743756e+05	(-1.45002628133949e+01dB,-4.09651679551987e+01°)
1.67880401812256e+05	(-1.58281654186177e+01dB,-4.43763659868835e+01°)
1.69824365246175e+05	(-1.70603828904331e+01dB,-4.74067399994954e+01°)
1.71790838715759e+05	(-1.82097535685621e+01dB,-5.01089826198210e+01°)
1.73780082874938e+05	(-1.92862682268744e+01dB,-5.25276540999679e+01°)
1.75792361395870e+05	(-2.02979890327092e+01dB,-5.47005947035439e+01°)
1.77827941003893e+05	(-2.12516022947293e+01dB,-5.66599905987828e+01°)
1.79887091512879e+05	(-2.21527669690302e+01dB,-5.84332475189504e+01°)
1.81970085860999e+05	(-2.30063451484964e+01dB,-6.00437297705073e+01°)
1.84077200146896e+05	(-2.38165617618093e+01dB,-6.15113895708886e+01°)
1.86208713666287e+05	(-2.45871200889502e+01dB,-6.28533015976521e+01°)
1.88364908948981e+05	(-2.53212885339310e+01dB,-6.40841147616835e+01°)
1.90546071796325e+05	(-2.60219679059215e+01dB,-6.52164322382062e+01°)
1.92752491319094e+05	(-2.66917449452431e+01dB,-6.62611300335884e+01°)
1.94984459975805e+05	(-2.73329357828314e+01dB,-6.72276234525112e+01°)
1.97242273611486e+05	(-2.79476217947589e+01dB,-6.81240897736895e+01°)
1.99526231496889e+05	(-2.85376795556873e+01dB,-6.89576543405405e+01°)
2.01836636368157e+05	(-2.91048061119035e+01dB,-6.97345462103882e+01°)
2.04173794466954e+05	(-2.96505404759997e+01dB,-7.04602285340560e+01°)
2.06538015581054e+05	(-3.01762820280721e+01dB,-7.11395079810806e+01°)
2.08929613085405e+05	(-3.06833063554209e+01dB,-7.17766267893927e+01°)
2.11348903983665e+05	(-3.11727789518402e+01dB,-7.23753403961626e+01°)
2.13796208950224e+05	(-3.16457671149766e+01dB,-7.29389830871769e+01°)
2.16271852372703e+05	(-3.21032503172593e+01dB,-7.34705236721070e+01°)
2.18776162394956e+05	(-3.25461292769316e+01dB,-7.39726128389320e+01°)
2.21309470960565e+05	(-3.29752339170125e+01dB,-7.44476235501593e+01°)
2.23872113856835e+05	(-3.33913303690123e+01dB,-7.48976856054129e+01°)
2.26464430759307e+05	(-3.37951271531051e+01dB,-7.53247153000757e+01°)
2.29086765276778e+05	(-3.41872806459285e+01dB,-7.57304409501207e+01°)
2.31739464996849e+05	(-3.45683999302602e+01dB,-7.61164249225364e+01°)
2.34422881531993e+05	(-3.49390511067926e+01dB,-7.64840827035036e+01°)
2.37137370566167e+05	(-3.52997611365298e+01dB,-7.68346994483496e+01°)
2.39883291901950e+05	(-3.56510212725308e+01dB,-7.71694443847390e+01°)
2.42661009508243e+05	(-3.59932901314775e+01dB,-7.74893833806888e+01°)
2.45470891568504e+05	(-3.63269964485841e+01dB,-7.77954899394750e+01°)
