Freq.	V(n004)
Step Information: X=50m  (Run: 1/10)
2.45470891568504e+05	(-4.25501714500390e+01dB,-8.40728309799678e+01°)
2.48313310529558e+05	(-4.28829468433915e+01dB,-8.42184406765398e+01°)
2.51188643150959e+05	(-4.32074717141270e+01dB,-8.43578033542972e+01°)
2.54097270554932e+05	(-4.35241376380185e+01dB,-8.44913236564895e+01°)
2.57039578276888e+05	(-4.38333109511504e+01dB,-8.46193718732956e+01°)
2.60015956316528e+05	(-4.41353348545316e+01dB,-8.47422875058779e+01°)
2.63026799189540e+05	(-4.44305313041671e+01dB,-8.48603823962307e+01°)
2.66072505979882e+05	(-4.47192027122534e+01dB,-8.49739434832600e+01°)
2.69153480392693e+05	(-4.50016334816577e+01dB,-8.50832352361081e+01°)
2.72270130807793e+05	(-4.52780913928741e+01dB,-8.51885018079395e+01°)
2.75422870333818e+05	(-4.55488288601240e+01dB,-8.52899689469224e+01°)
2.78612116862978e+05	(-4.58140840711179e+01dB,-8.53878456957246e+01°)
2.81838293126447e+05	(-4.60740820231535e+01dB,-8.54823259063173e+01°)
2.85101826750393e+05	(-4.63290354666457e+01dB,-8.55735895930691e+01°)
2.88403150312662e+05	(-4.65791457658261e+01dB,-8.56618041439055e+01°)
2.91742701400118e+05	(-4.68246036851762e+01dB,-8.57471254065929e+01°)
2.95120922666640e+05	(-4.70655901091450e+01dB,-8.58296986649052e+01°)
2.98538261891798e+05	(-4.73022767018234e+01dB,-8.59096595174716e+01°)
3.00000000000000e+05	(-4.74014322431595e+01dB,-8.59428249534853e+01°)
Step Information: X=100m  (Run: 2/10)
1.00000000000000e+05	(-4.06943922481355e+01dB,-9.73699105938306e+01°)
1.01157945425990e+05	(-4.00664648546678e+01dB,-9.75997805997029e+01°)
1.02329299228075e+05	(-3.94242765203330e+01dB,-9.78434993245678e+01°)
1.03514216667934e+05	(-3.87668970358573e+01dB,-9.81023992016872e+01°)
1.04712854805090e+05	(-3.80933061419802e+01dB,-9.83779912847121e+01°)
1.05925372517729e+05	(-3.74023814952495e+01dB,-9.86719964778849e+01°)
1.07151930523761e+05	(-3.66928845483622e+01dB,-9.89863836085237e+01°)
1.08392691402120e+05	(-3.59634438958016e+01dB,-9.93234161689661e+01°)
1.09647819614319e+05	(-3.52125355187785e+01dB,-9.96857101379538e+01°)
1.10917481526240e+05	(-3.44384592109956e+01dB,-1.00076306092885e+02°)
1.12201845430196e+05	(-3.36393102658823e+01dB,-1.00498759939782e+02°)
1.13501081567232e+05	(-3.28129452389954e+01dB,-1.00957258160375e+02°)
1.14815362149688e+05	(-3.19569402412600e+01dB,-1.01456765723790e+02°)
1.16144861384034e+05	(-3.10685397340451e+01dB,-1.02003218072871e+02°)
1.17489755493953e+05	(-3.01445931347010e+01dB,-1.02603773407720e+02°)
1.18850222743702e+05	(-2.91814756275565e+01dB,-1.03267148714646e+02°)
1.20226443461741e+05	(-2.81749883042118e+01dB,-1.04004074048481e+02°)
1.21618600064637e+05	(-2.71202309754872e+01dB,-1.04827916863946e+02°)
1.23026877081238e+05	(-2.60114384895433e+01dB,-1.05755555842483e+02°)
1.24451461177139e+05	(-2.48417678639044e+01dB,-1.06808629012243e+02°)
