time	V(N003,N006)	-I(Ls1)
8.746576707343136e-006	-7.218346e+001	-1.115460e+001
8.846576707343193e-006	-7.228505e+001	-1.108775e+001
8.946576707343249e-006	-7.238256e+001	-1.089563e+001
9.046576707343306e-006	-7.247279e+001	-1.057582e+001
9.146576707343363e-006	-7.255551e+001	-1.015504e+001
9.159076707343289e-006	-7.256495e+001	-1.009271e+001
9.184076707343357e-006	-7.258267e+001	-9.956501e+000
9.190326707343320e-006	-7.258697e+001	-9.921364e+000
9.202826707343246e-006	-7.259525e+001	-9.848397e+000
9.227826707343314e-006	-7.261135e+001	-9.698666e+000
9.233010607864181e-006	-7.261456e+001	-9.666717e+000
9.243378408905698e-006	-7.262075e+001	-9.600835e+000
9.264114010988948e-006	-7.263242e+001	-9.464119e+000
9.305585215155449e-006	-7.265273e+001	-9.170682e+000
9.388527623488451e-006	-7.268296e+001	-8.522011e+000
9.488527623488507e-006	-7.270114e+001	-7.644447e+000
9.588527623488564e-006	-7.269534e+001	-6.659407e+000
9.688527623488621e-006	-7.266145e+001	-5.569786e+000
9.788527623488677e-006	-7.259586e+001	-4.385239e+000
9.888527623488734e-006	-7.249381e+001	-3.116916e+000
9.988527623488791e-006	-7.233985e+001	-1.777384e+000
1.008852762348885e-005	-2.526126e+001	-4.454644e-001
1.014215685853624e-005	7.187035e+001	1.929645e-001
1.014225745744630e-005	7.200519e+001	1.938915e-001
1.014245865526620e-005	7.200503e+001	1.954080e-001
1.014286105090623e-005	7.200513e+001	1.984404e-001
1.014366584218608e-005	7.200529e+001	2.045069e-001
1.014500483406677e-005	7.200549e+001	2.146049e-001
1.014627141365690e-005	7.200559e+001	2.241632e-001
1.014805874076808e-005	7.200557e+001	2.376622e-001
1.014988297527459e-005	7.200539e+001	2.514521e-001
1.015215741360931e-005	7.200492e+001	2.686680e-001
1.015670629027875e-005	7.200345e+001	3.031550e-001
1.016090272526514e-005	7.200161e+001	3.350328e-001
1.016572896660466e-005	7.199893e+001	3.717810e-001
1.017121640158308e-005	7.199535e+001	4.136670e-001
1.017695598478459e-005	7.199111e+001	4.576002e-001
1.018404153639140e-005	7.198531e+001	5.120080e-001
1.019233555012134e-005	7.197792e+001	5.759354e-001
1.020344071257068e-005	7.196727e+001	6.619453e-001
1.021930992116198e-005	7.195106e+001	7.856774e-001
1.024469251560863e-005	7.192384e+001	9.856536e-001
1.029288445563554e-005	7.187161e+001	1.371769e+000
1.038926833568936e-005	7.177167e+001	2.159851e+000
1.048926833568942e-005	7.167889e+001	2.993257e+000
1.058926833568947e-005	7.160231e+001	3.837424e+000
1.068926833568953e-005	7.154027e+001	4.684957e+000
1.070176833568946e-005	7.153399e+001	4.790699e+000
1.072676833568952e-005	7.152372e+001	5.001241e+000
1.077676833568944e-005	7.150764e+001	5.418309e+000
1.087676833568950e-005	7.148876e+001	6.236562e+000
1.097676833568956e-005	7.148647e+001	7.027725e+000
1.107676833568961e-005	7.150253e+001	7.778817e+000
1.117676833568967e-005	7.153586e+001	8.478754e+000
1.127676833568973e-005	7.158511e+001	9.116596e+000
1.137676833568978e-005	7.164862e+001	9.681700e+000
1.147676833568984e-005	7.172445e+001	1.016389e+001
1.157676833568990e-005	7.181041e+001	1.055364e+001
1.167676833568995e-005	7.190407e+001	1.084218e+001
1.177676833569001e-005	7.200280e+001	1.102174e+001
1.187676833569007e-005	7.210378e+001	1.108562e+001
1.197676833569012e-005	7.220401e+001	1.102834e+001
1.207676833569018e-005	7.230039e+001	1.084583e+001
1.217676833569024e-005	7.238974e+001	1.053543e+001
1.227676833569029e-005	7.247176e+001	1.012378e+001
1.228926833569022e-005	7.248113e+001	1.006256e+001
1.231426833569029e-005	7.249832e+001	9.925099e+000
1.236426833569021e-005	7.253095e+001	9.635484e+000
1.237162541871720e-005	7.253547e+001	9.590529e+000
1.238633958477119e-005	7.254387e+001	9.495911e+000
1.241576791687917e-005	7.255927e+001	9.296694e+000
1.247462458109513e-005	7.258421e+001	8.861338e+000
1.257462458109518e-005	7.261118e+001	8.034734e+000
1.267462458109524e-005	7.261683e+001	7.104114e+000
1.277462458109530e-005	7.259596e+001	6.063984e+000
1.287462458109535e-005	7.254515e+001	4.923240e+000
1.297462458109541e-005	7.246033e+001	3.692342e+000
1.307462458109547e-005	7.233366e+001	2.383230e+000
1.317462458109552e-005	7.214092e+001	1.013589e+000
1.323670959943392e-005	2.864111e+001	1.797059e-001
1.327763534728185e-005	-7.180725e+001	-3.089403e-001
1.327770950680109e-005	-7.193735e+001	-3.096281e-001
1.327785782583957e-005	-7.193719e+001	-3.107536e-001
1.327815446391652e-005	-7.193695e+001	-3.130034e-001
1.327874774007041e-005	-7.193669e+001	-3.175028e-001
1.327946084078127e-005	-7.193637e+001	-3.229131e-001
1.328069510925537e-005	-7.193578e+001	-3.322815e-001
1.328191300385695e-005	-7.193516e+001	-3.415319e-001
1.328373637862518e-005	-7.193417e+001	-3.553917e-001
1.328562289085091e-005	-7.193308e+001	-3.697436e-001
1.328755788931185e-005	-7.193188e+001	-3.844798e-001
1.329012461000331e-005	-7.193017e+001	-4.040524e-001
1.329440156070945e-005	-7.192711e+001	-4.367190e-001
1.329862774993138e-005	-7.192387e+001	-4.690598e-001
1.330320049035033e-005	-7.192012e+001	-5.041293e-001
1.330820105940704e-005	-7.191580e+001	-5.425680e-001
1.331349604833851e-005	-7.191100e+001	-5.833713e-001
1.331959177969656e-005	-7.190523e+001	-6.304761e-001
1.332696360134252e-005	-7.189797e+001	-6.876292e-001
1.333667862229776e-005	-7.188804e+001	-7.632739e-001
1.335170028851900e-005	-7.187214e+001	-8.809078e-001
1.337178332609114e-005	-7.185031e+001	-1.039415e+000
1.340197421697024e-005	-7.181707e+001	-1.280242e+000
1.344551880042922e-005	-7.176984e+001	-1.632557e+000
1.351567803752388e-005	-7.169822e+001	-2.210107e+000
1.361567803752394e-005	-7.160755e+001	-3.046902e+000
1.371567803752400e-005	-7.153266e+001	-3.892936e+000
1.381567803752405e-005	-7.147220e+001	-4.742270e+000
1.382817803752398e-005	-7.146610e+001	-4.848226e+000
1.385317803752405e-005	-7.145622e+001	-5.059167e+000
1.390317803752397e-005	-7.144091e+001	-5.476962e+000
1.400317803752402e-005	-7.142362e+001	-6.296407e+000
1.410317803752408e-005	-7.142296e+001	-7.088361e+000
1.420317803752414e-005	-7.144064e+001	-7.839695e+000
1.430317803752419e-005	-7.147561e+001	-8.539225e+000
1.440317803752425e-005	-7.152647e+001	-9.175911e+000
1.450317803752431e-005	-7.159155e+001	-9.739031e+000
1.460317803752436e-005	-7.166889e+001	-1.021834e+001
1.470317803752442e-005	-7.175628e+001	-1.060424e+001
