time	I(Ls1)
4.957787887540982e-005	-2.023277e-004
4.957789447136121e-005	-8.743827e-006
4.957792566326422e-005	3.549702e-004
4.957795801678816e-005	6.493891e-004
4.957799927038766e-005	8.315111e-004
4.957804148804108e-005	7.755516e-004
4.957807563230423e-005	5.461819e-004
4.957810612146447e-005	2.397018e-004
4.957810662572734e-005	2.338918e-004
4.957810763425328e-005	2.216902e-004
4.957810965130517e-005	1.971774e-004
4.957811368540874e-005	1.478085e-004
4.957812175361608e-005	4.862466e-005
4.957813789003055e-005	-1.436350e-004
4.957817016285971e-005	-4.811103e-004
4.957820650779024e-005	-7.381541e-004
4.957824839938959e-005	-8.227199e-004
4.957828396166190e-005	-6.944379e-004
4.957832026288044e-005	-3.919713e-004
4.957835527130629e-005	-1.183622e-005
4.957835594726471e-005	-3.818363e-006
4.957835729918155e-005	1.264271e-005
4.957836000301502e-005	4.550350e-005
4.957836541068196e-005	1.106610e-004
4.957837622601605e-005	2.362367e-004
4.957839785668422e-005	4.515579e-004
4.957844111802036e-005	7.381322e-004
4.957848204146294e-005	7.996316e-004
4.957852232768153e-005	6.302724e-004
4.957855480403669e-005	3.498939e-004
4.957858724902067e-005	-6.919042e-006
4.957858780902237e-005	-1.353216e-005
4.957858892902576e-005	-2.705011e-005
4.957859116903234e-005	-5.403641e-005
4.957859564904570e-005	-1.076281e-004
4.957860460907244e-005	-2.118702e-004
4.957862252912568e-005	-3.985091e-004
4.957865836923239e-005	-6.723218e-004
4.957870010048799e-005	-8.072035e-004
4.957873582955960e-005	-7.300493e-004
4.957876885699564e-005	-4.980688e-004
4.957880196912695e-005	-1.638763e-004
4.957884576530219e-005	2.870691e-004
4.957890248448427e-005	7.104067e-004
4.957894240610497e-005	7.915588e-004
4.957898350515600e-005	6.299657e-004
4.957901627570291e-005	3.708637e-004
4.957902043298984e-005	3.282934e-004
4.957902874756391e-005	2.339449e-004
4.957904537671205e-005	4.117577e-005
4.957907035327107e-005	-2.282780e-004
4.957912030638910e-005	-6.237564e-004
4.957917205941523e-005	-7.785797e-004
4.957920912967658e-005	-6.683315e-004
4.957924267261931e-005	-4.034176e-004
4.957927736878474e-005	-4.362902e-005
4.957932317422556e-005	4.071380e-004
4.957937487494912e-005	7.348160e-004
4.957941578086623e-005	7.648658e-004
4.957945451415950e-005	5.740367e-004
4.957948633204940e-005	2.899684e-004
4.957951850149988e-005	-5.613006e-005
4.957955684140665e-005	-4.332426e-004
4.957960285427291e-005	-7.290587e-004
4.957964179686165e-005	-7.801232e-004
4.957967630179398e-005	-6.372895e-004
4.957971140860055e-005	-3.447277e-004
4.957974721648997e-005	2.544917e-005
4.957979492587828e-005	4.800008e-004
4.957983948271393e-005	7.408090e-004
4.957987944224549e-005	7.488243e-004
4.957992309672765e-005	5.196512e-004
4.957995489571947e-005	2.305723e-004
4.957998860352967e-005	-1.289254e-004
4.958002750001444e-005	-4.917940e-004
4.958007189160034e-005	-7.438381e-004
4.958010889822683e-005	-7.645416e-004
4.958014293705132e-005	-6.060919e-004
4.958017741657646e-005	-3.111377e-004
4.958021451266178e-005	6.963529e-005
4.958026259975121e-005	5.124194e-004
4.958030506516413e-005	7.407957e-004
4.958034534042663e-005	7.364163e-004
4.958038414349568e-005	5.309057e-004
4.958041566366757e-005	2.471083e-004
4.958044891139853e-005	-1.024895e-004
4.958048862677817e-005	-4.722317e-004
4.958053331310486e-005	-7.303678e-004
4.958057040759336e-005	-7.575291e-004
4.958060449917557e-005	-6.060039e-004
4.958063907449929e-005	-3.173881e-004
4.958067556355239e-005	5.210951e-005
4.958072332470853e-005	4.906052e-004
4.958076650671208e-005	7.273065e-004
4.958080677523432e-005	7.249017e-004
4.958085056312863e-005	4.922883e-004
4.958088213992016e-005	2.086221e-004
4.958091661499769e-005	-1.492809e-004
4.958095635305146e-005	-5.038753e-004
4.958100012811555e-005	-7.330172e-004
4.958103678561702e-005	-7.403118e-004
4.958107068059000e-005	-5.769409e-004
4.958110495462240e-005	-2.852209e-004
4.958114240940625e-005	9.046283e-005
4.958119064959045e-005	5.180167e-004
4.958123220108143e-005	7.263770e-004
4.958127292011244e-005	7.112628e-004
4.958131178289349e-005	5.023004e-004
4.958134307785815e-005	2.232862e-004
4.958137708851009e-005	-1.250666e-004
4.958141775643138e-005	-4.869632e-004
4.958146182705461e-005	-7.210464e-004
4.958149854470740e-005	-7.334499e-004
4.958153247825456e-005	-5.758599e-004
4.958156682244742e-005	-2.896945e-004
4.958160374368822e-005	7.596313e-005
4.958165194876487e-005	5.013944e-004
4.958169409764626e-005	7.156128e-004
4.958173471429715e-005	7.057560e-004
4.958177406543538e-005	4.997936e-004
4.958180547158801e-005	2.243859e-004
4.958183962174619e-005	-1.213100e-004
4.958188016030915e-005	-4.783909e-004
4.958192454718874e-005	-7.121711e-004
4.958196133681933e-005	-7.249253e-004
4.958199526954987e-005	-5.692095e-004
4.958202961738911e-005	-2.863302e-004
4.958206636129108e-005	7.354980e-005
4.958211421020884e-005	4.918046e-004
4.958215642400662e-005	7.052484e-004
4.958219724103302e-005	6.917870e-004
4.958224135556710e-005	4.557392e-004
4.958227305591691e-005	1.766906e-004
4.958230840478202e-005	-1.753596e-004
4.958234963606430e-005	-5.209943e-004
4.958239097695594e-005	-7.155078e-004
4.958242687303459e-005	-7.099793e-004
4.958246064619247e-005	-5.455762e-004
4.958249475340193e-005	-2.616424e-004
4.958253226249542e-005	1.016613e-004
4.958258042489462e-005	5.097419e-004
4.958262143244874e-005	7.021053e-004
4.958266264211940e-005	6.799750e-004
4.958270203155230e-005	4.696219e-004
4.958273314953788e-005	1.989587e-004
4.958276815581375e-005	-1.457244e-004
4.958280985210752e-005	-4.965633e-004
4.958285216131466e-005	-7.020438e-004
4.958288830818119e-005	-7.039923e-004
4.958292213316090e-005	-5.464699e-004
4.958295633225368e-005	-2.684275e-004
4.958299317630839e-005	8.398868e-005
4.958304097530124e-005	4.885877e-004
4.958308271205331e-005	6.893873e-004
4.958312390228163e-005	6.703036e-004
4.958316824305573e-005	4.333343e-004
4.958320041067695e-005	1.547097e-004
4.958323613413803e-005	-1.904009e-004
4.958327862235605e-005	-5.308150e-004
4.958331832085813e-005	-7.031951e-004
4.958335375422488e-005	-6.889464e-004
4.958338745970339e-005	-5.234199e-004
4.958342146821814e-005	-2.443105e-004
4.958345903031741e-005	1.107339e-004
4.958350716884551e-005	5.054591e-004
