Freq.	I(Ls1)	I(Ls2)
1.52152152152151e+05	(-2.84716442175368e+01dB,-1.01033845158440e+02°)	(-2.84716442175368e+01dB,-1.01033845158440e+02°)
1.52252252252251e+05	(-2.84577931546330e+01dB,-1.01561106761582e+02°)	(-2.84577931546330e+01dB,-1.01561106761582e+02°)
1.52352352352352e+05	(-2.84443519214608e+01dB,-1.02089434731894e+02°)	(-2.84443519214608e+01dB,-1.02089434731894e+02°)
1.52452452452452e+05	(-2.84313246573877e+01dB,-1.02618800888903e+02°)	(-2.84313246573877e+01dB,-1.02618800888903e+02°)
1.52552552552552e+05	(-2.84187154376563e+01dB,-1.03149176289372e+02°)	(-2.84187154376563e+01dB,-1.03149176289372e+02°)
1.52652652652652e+05	(-2.84065282696466e+01dB,-1.03680531233871e+02°)	(-2.84065282696466e+01dB,-1.03680531233871e+02°)
1.52752752752752e+05	(-2.83947670891422e+01dB,-1.04212835274273e+02°)	(-2.83947670891422e+01dB,-1.04212835274273e+02°)
1.52852852852852e+05	(-2.83834357566066e+01dB,-1.04746057222172e+02°)	(-2.83834357566066e+01dB,-1.04746057222172e+02°)
1.52952952952952e+05	(-2.83725380534747e+01dB,-1.05280165158242e+02°)	(-2.83725380534747e+01dB,-1.05280165158242e+02°)
1.53053053053052e+05	(-2.83620776784664e+01dB,-1.05815126442532e+02°)	(-2.83620776784664e+01dB,-1.05815126442532e+02°)
1.53153153153152e+05	(-2.83520582439281e+01dB,-1.06350907725701e+02°)	(-2.83520582439281e+01dB,-1.06350907725701e+02°)
1.53253253253252e+05	(-2.83424832722088e+01dB,-1.06887474961195e+02°)	(-2.83424832722088e+01dB,-1.06887474961195e+02°)
1.53353353353353e+05	(-2.83333561920768e+01dB,-1.07424793418367e+02°)	(-2.83333561920768e+01dB,-1.07424793418367e+02°)
1.53453453453453e+05	(-2.83246803351836e+01dB,-1.07962827696523e+02°)	(-2.83246803351836e+01dB,-1.07962827696523e+02°)
1.53553553553553e+05	(-2.83164589325813e+01dB,-1.08501541739912e+02°)	(-2.83164589325813e+01dB,-1.08501541739912e+02°)
1.53653653653653e+05	(-2.83086951113008e+01dB,-1.09040898853625e+02°)	(-2.83086951113008e+01dB,-1.09040898853625e+02°)
1.53753753753753e+05	(-2.83013918909952e+01dB,-1.09580861720411e+02°)	(-2.83013918909952e+01dB,-1.09580861720411e+02°)
1.53853853853853e+05	(-2.82945521806579e+01dB,-1.10121392418390e+02°)	(-2.82945521806579e+01dB,-1.10121392418390e+02°)
1.53953953953953e+05	(-2.82881787754183e+01dB,-1.10662452439649e+02°)	(-2.82881787754183e+01dB,-1.10662452439649e+02°)
1.54054054054053e+05	(-2.82822743534252e+01dB,-1.11204002709705e+02°)	(-2.82822743534252e+01dB,-1.11204002709705e+02°)
1.54154154154153e+05	(-2.82768414728199e+01dB,-1.11746003607814e+02°)	(-2.82768414728199e+01dB,-1.11746003607814e+02°)
1.54254254254253e+05	(-2.82718825688095e+01dB,-1.12288414988109e+02°)	(-2.82718825688095e+01dB,-1.12288414988109e+02°)
1.54354354354354e+05	(-2.82673999508427e+01dB,-1.12831196201531e+02°)	(-2.82673999508427e+01dB,-1.12831196201531e+02°)
1.54454454454454e+05	(-2.82633957998961e+01dB,-1.13374306118544e+02°)	(-2.82633957998961e+01dB,-1.13374306118544e+02°)
1.54554554554554e+05	(-2.82598721658764e+01dB,-1.13917703152597e+02°)	(-2.82598721658764e+01dB,-1.13917703152597e+02°)
1.54654654654654e+05	(-2.82568309651432e+01dB,-1.14461345284292e+02°)	(-2.82568309651432e+01dB,-1.14461345284292e+02°)
1.54754754754754e+05	(-2.82542739781581e+01dB,-1.15005190086255e+02°)	(-2.82542739781581e+01dB,-1.15005190086255e+02°)
1.54854854854854e+05	(-2.82522028472657e+01dB,-1.15549194748642e+02°)	(-2.82522028472657e+01dB,-1.15549194748642e+02°)
1.54954954954954e+05	(-2.82506190746105e+01dB,-1.16093316105271e+02°)	(-2.82506190746105e+01dB,-1.16093316105271e+02°)
1.55055055055054e+05	(-2.82495240201947e+01dB,-1.16637510660322e+02°)	(-2.82495240201947e+01dB,-1.16637510660322e+02°)
1.55155155155154e+05	(-2.82489189000811e+01dB,-1.17181734615585e+02°)	(-2.82489189000811e+01dB,-1.17181734615585e+02°)
1.55255255255254e+05	(-2.82488047847448e+01dB,-1.17725943898196e+02°)	(-2.82488047847448e+01dB,-1.17725943898196e+02°)
1.55355355355355e+05	(-2.82491825975779e+01dB,-1.18270094188834e+02°)	(-2.82491825975779e+01dB,-1.18270094188834e+02°)
1.55455455455455e+05	(-2.82500531135502e+01dB,-1.18814140950324e+02°)	(-2.82500531135502e+01dB,-1.18814140950324e+02°)
1.55555555555555e+05	(-2.82514169580288e+01dB,-1.19358039456610e+02°)	(-2.82514169580288e+01dB,-1.19358039456610e+02°)
1.55655655655655e+05	(-2.82532746057596e+01dB,-1.19901744822044e+02°)	(-2.82532746057596e+01dB,-1.19901744822044e+02°)
1.55755755755755e+05	(-2.82556263800128e+01dB,-1.20445212030948e+02°)	(-2.82556263800128e+01dB,-1.20445212030948e+02°)
1.55855855855855e+05	(-2.82584724518943e+01dB,-1.20988395967407e+02°)	(-2.82584724518943e+01dB,-1.20988395967407e+02°)
1.55955955955955e+05	(-2.82618128398244e+01dB,-1.21531251445227e+02°)	(-2.82618128398244e+01dB,-1.21531251445227e+02°)
1.56056056056055e+05	(-2.82656474091859e+01dB,-1.22073733238032e+02°)	(-2.82656474091859e+01dB,-1.22073733238032e+02°)
1.56156156156155e+05	(-2.82699758721407e+01dB,-1.22615796109427e+02°)	(-2.82699758721407e+01dB,-1.22615796109427e+02°)
1.56256256256255e+05	(-2.82747977876172e+01dB,-1.23157394843200e+02°)	(-2.82747977876172e+01dB,-1.23157394843200e+02°)
1.56356356356356e+05	(-2.82801125614668e+01dB,-1.23698484273496e+02°)	(-2.82801125614668e+01dB,-1.23698484273496e+02°)
1.56456456456456e+05	(-2.82859194467909e+01dB,-1.24239019314920e+02°)	(-2.82859194467909e+01dB,-1.24239019314920e+02°)
1.56556556556556e+05	(-2.82922175444355e+01dB,-1.24778954992517e+02°)	(-2.82922175444355e+01dB,-1.24778954992517e+02°)
1.56656656656656e+05	(-2.82990058036544e+01dB,-1.25318246471592e+02°)	(-2.82990058036544e+01dB,-1.25318246471592e+02°)
1.56756756756756e+05	(-2.83062830229379e+01dB,-1.25856849087297e+02°)	(-2.83062830229379e+01dB,-1.25856849087297e+02°)
1.56856856856856e+05	(-2.83140478510059e+01dB,-1.26394718373962e+02°)	(-2.83140478510059e+01dB,-1.26394718373962e+02°)
1.56956956956956e+05	(-2.83222987879631e+01dB,-1.26931810094106e+02°)	(-2.83222987879631e+01dB,-1.26931810094106e+02°)
