Freq.	I(Ls1)	I(Ls2)
1.08308308308308e+05	(-4.46940863075116e+01dB,4.07196492614359e+01°)	(-4.90746139163672e+01dB,2.41832852337899e+01°)
1.08408408408408e+05	(-4.46405553299524e+01dB,4.05642722546235e+01°)	(-4.90311577680346e+01dB,2.40485433244010e+01°)
1.08508508508508e+05	(-4.45870134137285e+01dB,4.04082468892567e+01°)	(-4.89876978047039e+01dB,2.39134533351912e+01°)
1.08608608608608e+05	(-4.45334607777299e+01dB,4.02515703438835e+01°)	(-4.89442340145773e+01dB,2.37780136530569e+01°)
1.08708708708709e+05	(-4.44798976448955e+01dB,4.00942397948287e+01°)	(-4.89007663875173e+01dB,2.36422226568253e+01°)
1.08808808808809e+05	(-4.44263242422435e+01dB,3.99362524164307e+01°)	(-4.88572949150706e+01dB,2.35060787173121e+01°)
1.08908908908909e+05	(-4.43727408009013e+01dB,3.97776053812829e+01°)	(-4.88138195904934e+01dB,2.33695801973812e+01°)
1.09009009009009e+05	(-4.43191475561362e+01dB,3.96182958604796e+01°)	(-4.87703404087756e+01dB,2.32327254520087e+01°)
1.09109109109109e+05	(-4.42655447473848e+01dB,3.94583210238679e+01°)	(-4.87268573666661e+01dB,2.30955128283493e+01°)
1.09209209209209e+05	(-4.42119326182831e+01dB,3.92976780403039e+01°)	(-4.86833704626977e+01dB,2.29579406658066e+01°)
1.09309309309309e+05	(-4.41583114166962e+01dB,3.91363640779144e+01°)	(-4.86398796972122e+01dB,2.28200072961061e+01°)
1.09409409409409e+05	(-4.41046813947472e+01dB,3.89743763043633e+01°)	(-4.85963850723856e+01dB,2.26817110433729e+01°)
1.09509509509509e+05	(-4.40510428088470e+01dB,3.88117118871240e+01°)	(-4.85528865922535e+01dB,2.25430502242115e+01°)
1.09609609609609e+05	(-4.39973959197229e+01dB,3.86483679937565e+01°)	(-4.85093842627362e+01dB,2.24040231477903e+01°)
1.09709709709710e+05	(-4.39437409924476e+01dB,3.84843417921897e+01°)	(-4.84658780916643e+01dB,2.22646281159291e+01°)
1.09809809809810e+05	(-4.38900782964671e+01dB,3.83196304510096e+01°)	(-4.84223680888043e+01dB,2.21248634231905e+01°)
1.09909909909910e+05	(-4.38364081056299e+01dB,3.81542311397527e+01°)	(-4.83788542658838e+01dB,2.19847273569751e+01°)
1.10010010010010e+05	(-4.37827306982139e+01dB,3.79881410292041e+01°)	(-4.83353366366173e+01dB,2.18442181976205e+01°)
1.10110110110110e+05	(-4.37290463569546e+01dB,3.78213572917029e+01°)	(-4.82918152167318e+01dB,2.17033342185038e+01°)
1.10210210210210e+05	(-4.36753553690723e+01dB,3.76538771014508e+01°)	(-4.82482900239923e+01dB,2.15620736861490e+01°)
1.10310310310310e+05	(-4.36216580262991e+01dB,3.74856976348284e+01°)	(-4.82047610782273e+01dB,2.14204348603372e+01°)
1.10410410410410e+05	(-4.35679546249054e+01dB,3.73168160707155e+01°)	(-4.81612284013547e+01dB,2.12784159942213e+01°)
1.10510510510510e+05	(-4.35142454657260e+01dB,3.71472295908183e+01°)	(-4.81176920174072e+01dB,2.11360153344453e+01°)
1.10610610610610e+05	(-4.34605308541863e+01dB,3.69769353800013e+01°)	(-4.80741519525579e+01dB,2.09932311212671e+01°)
1.10710710710711e+05	(-4.34068111003278e+01dB,3.68059306266259e+01°)	(-4.80306082351457e+01dB,2.08500615886857e+01°)
1.10810810810811e+05	(-4.33530865188325e+01dB,3.66342125228937e+01°)	(-4.79870608957010e+01dB,2.07065049645725e+01°)
1.10910910910911e+05	(-4.32993574290482e+01dB,3.64617782651962e+01°)	(-4.79435099669709e+01dB,2.05625594708075e+01°)
1.11011011011011e+05	(-4.32456241550122e+01dB,3.62886250544707e+01°)	(-4.78999554839447e+01dB,2.04182233234190e+01°)
1.11111111111111e+05	(-4.31918870254749e+01dB,3.61147500965609e+01°)	(-4.78563974838788e+01dB,2.02734947327285e+01°)
1.11211211211211e+05	(-4.31381463739233e+01dB,3.59401506025849e+01°)	(-4.78128360063224e+01dB,2.01283719034995e+01°)
1.11311311311311e+05	(-4.30844025386031e+01dB,3.57648237893074e+01°)	(-4.77692710931418e+01dB,1.99828530350910e+01°)
1.11411411411411e+05	(-4.30306558625412e+01dB,3.55887668795196e+01°)	(-4.77257027885459e+01dB,1.98369363216158e+01°)
1.11511511511511e+05	(-4.29769066935669e+01dB,3.54119771024233e+01°)	(-4.76821311391103e+01dB,1.96906199521028e+01°)
1.11611611611611e+05	(-4.29231553843328e+01dB,3.52344516940227e+01°)	(-4.76385561938025e+01dB,1.95439021106650e+01°)
1.11711711711712e+05	(-4.28694022923354e+01dB,3.50561878975207e+01°)	(-4.75949780040059e+01dB,1.93967809766706e+01°)
1.11811811811812e+05	(-4.28156477799341e+01dB,3.48771829637218e+01°)	(-4.75513966235439e+01dB,1.92492547249208e+01°)
1.11911911911912e+05	(-4.27618922143711e+01dB,3.46974341514416e+01°)	(-4.75078121087041e+01dB,1.91013215258304e+01°)
1.12012012012012e+05	(-4.27081359677887e+01dB,3.45169387279212e+01°)	(-4.74642245182618e+01dB,1.89529795456151e+01°)
1.12112112112112e+05	(-4.26543794172479e+01dB,3.43356939692483e+01°)	(-4.74206339135038e+01dB,1.88042269464816e+01°)
1.12212212212212e+05	(-4.26006229447445e+01dB,3.41536971607845e+01°)	(-4.73770403582513e+01dB,1.86550618868251e+01°)
1.12312312312312e+05	(-4.25468669372255e+01dB,3.39709455975977e+01°)	(-4.73334439188828e+01dB,1.85054825214291e+01°)
1.12412412412412e+05	(-4.24931117866046e+01dB,3.37874365849020e+01°)	(-4.72898446643573e+01dB,1.83554870016721e+01°)
1.12512512512512e+05	(-4.24393578897764e+01dB,3.36031674385022e+01°)	(-4.72462426662356e+01dB,1.82050734757387e+01°)
1.12612612612612e+05	(-4.23856056486306e+01dB,3.34181354852449e+01°)	(-4.72026379987033e+01dB,1.80542400888351e+01°)
1.12712712712713e+05	(-4.23318554700644e+01dB,3.32323380634760e+01°)	(-4.71590307385918e+01dB,1.79029849834106e+01°)
1.12812812812813e+05	(-4.22781077659946e+01dB,3.30457725235034e+01°)	(-4.71154209653997e+01dB,1.77513062993835e+01°)
1.12912912912913e+05	(-4.22243629533687e+01dB,3.28584362280664e+01°)	(-4.70718087613135e+01dB,1.75992021743730e+01°)
1.13013013013013e+05	(-4.21706214541753e+01dB,3.26703265528106e+01°)	(-4.70281942112282e+01dB,1.74466707439344e+01°)
1.13113113113113e+05	(-4.21168836954527e+01dB,3.24814408867684e+01°)	(-4.69845774027672e+01dB,1.72937101418018e+01°)
1.13213213213213e+05	(-4.20631501092975e+01dB,3.22917766328467e+01°)	(-4.69409584263016e+01dB,1.71403185001340e+01°)
1.13313313313313e+05	(-4.20094211328717e+01dB,3.21013312083192e+01°)	(-4.68973373749695e+01dB,1.69864939497665e+01°)
1.13413413413413e+05	(-4.19556972084088e+01dB,3.19101020453245e+01°)	(-4.68537143446942e+01dB,1.68322346204687e+01°)
